f (Hz)	Rs (Ohm)	Xs (Ohm)	Rs_CSE (Ohm)	Xs_CSE (Ohm)	Rs_ASE_diffuse (Ohm)	Xs_ASE_diffuse (Ohm)	Rs_relaxation (Ohm)	Xs_relaxation (Ohm)	Rs_local (Ohm)	Xs_local (Ohm)	Rs_anomalous_reflection (Ohm)	Xs_anomalous_reflection (Ohm)
1000.0	2.951280054587528e-07	-3.5916112567271155e-07	2.809925893181118e-07	-2.8099258931811185e-07	1.4539905691423136e-07	-2.518385539480475e-07	0.00030616582327592964	-2.578891216755254e-10	2.809925301468075e-07	-2.8099264848942866e-07	0.2518010891551806	-2.578891216755254e-10
1261.856883066021	3.3403741579857815e-07	-4.114502351256067e-07	3.1564572866976003e-07	-3.1564572866976003e-07	1.6978591402258459e-07	-2.9407782949663756e-07	0.00030616582327592964	-3.2541916325411233e-10	3.156456447959672e-07	-3.1564581254357513e-07	0.2518010891551806	-3.2541916325411233e-10
1592.2827933410922	3.783876616751781e-07	-4.7177660190974696e-07	3.5457243292160293e-07	-3.54572432921603e-07	1.9826302324291702e-07	-3.434016295189414e-07	0.00030616582327592964	-4.106324110337865e-10	3.545723140326729e-07	-3.545725518105729e-07	0.2518010891551806	-4.106324110337865e-10
2009.2330025650479	4.2899290171932973e-07	-5.414224826505661e-07	3.982997353323262e-07	-3.982997353323262e-07	2.3151641649255286e-07	-4.009981961513786e-07	0.00030616582327592964	-5.181593342729789e-10	3.9829956681034697e-07	-3.982999038543767e-07	0.2518010891551806	-5.181593342729789e-10
2535.3644939701117	4.867952276632526e-07	-6.218783759537604e-07	4.474196650275895e-07	-4.4741966502758947e-07	2.703471894498514e-07	-4.682550678105913e-07	0.00030616582327592964	-6.538429224772651e-10	4.474194261520513e-07	-4.474199039032552e-07	0.2518010891551806	-6.538429224772651e-10
3199.2671377973843	5.528851708867019e-07	-7.148772177040502e-07	5.0259726255247e-07	-5.0259726255247e-07	3.156908004654818e-07	-5.46792505888303e-07	0.00030616582327592964	-8.250561921719395e-10	5.025969239525901e-07	-5.02597601152578e-07	0.2518010891551806	-8.250561921719395e-10
4037.017258596554	6.285255461277375e-07	-8.224342640447223e-07	5.64579583934157e-07	-5.645795839341569e-07	3.686396063570817e-07	-6.385025278926562e-07	0.00030616582327592964	-1.0411028350084027e-09	5.64579103977618e-07	-5.645800638911039e-07	0.2518010891551806	-1.0411028350084027e-09
5094.138014816381	7.151791882906556e-07	-9.468936109212186e-07	6.342058151619741e-07	-6.34205815161974e-07	4.30469177989123e-07	-7.45594487369571e-07	0.00030616582327592964	-1.313722778334901e-09	6.342051348360564e-07	-6.342064954886215e-07	0.2518010891551806	-1.313722778334901e-09
6428.073117284319	8.145412304994503e-07	-1.0909824562508284e-06	7.124186340258659e-07	-7.124186340258658e-07	5.026690295972627e-07	-8.706482986538024e-07	0.00030616582327592964	-1.6577301302825097e-09	7.124176696815909e-07	-7.124195983714465e-07	0.2518010891551806	-1.6577301302825097e-09
8111.308307896872	9.285766785010365e-07	-1.2578743945048532e-06	8.002769731426332e-07	-8.002769731426332e-07	5.869785021464148e-07	-1.0166765886682676e-06	0.00030616582327592964	-2.0918181751629167e-09	8.002756062097813e-07	-8.002783400778201e-07	0.2518010891551806	-2.0918181751629167e-09
